股票代號,股票名稱,2021上市上櫃
2753,八方雲集,1
2754,亞洲藏壽司,2
2755,揚秦,2
2801,彰銀,1
2809,京城銀,1
2812,台中銀,1
2816,旺旺保,1
2820,華票,1
2823,中壽,1
2832,台產,1
2834,臺企銀,1
2836,高雄銀,1
2838,聯邦銀,1
2841,台開,1
2845,遠東銀,1
2849,安泰銀,1
2850,新產,1
2851,中再保,1
2852,第一保,1
2855,統一證,1
2867,三商壽,1
2880,華南金,1
2881,富邦金,1
2882,國泰金,1
2883,開發金,1
2884,玉山金,1
2885,元大金,1
2886,兆豐金,1
2887,台新金,1
2888,新光金,1
2889,國票金,1
2890,永豐金,1
2891,中信金,1
2892,第一金,1
2897,王道銀行,1
2901,欣欣,1
2903,遠百,1
2904,匯僑,1
2905,三商,1
2906,高林,1
2908,特力,1
2910,統領,1
2911,麗嬰房,1
2912,統一超,1
2913,農林,1
2915,潤泰全,1
2916,滿心,2
2923,鼎固-KY,1
2924,東凌-KY,2
2926,誠品生活,2
2929,淘帝-KY,1
2936,客思達-KY,1
2937,集雅社,2
2939,凱羿-KY,1
2945,三商家購,1
2947,振宇五金,2
3002,歐格,1
3003,健和興,1
3004,豐達科,1
3005,神基,1
3006,晶豪科,1
3008,大立光,1
3010,華立,1
3011,今皓,1
3013,晟銘電,1
3014,聯陽,1
3015,全漢,1
3016,嘉晶,1
3017,奇鋐,1
3018,同開,1
3019,亞光,1
3021,鴻名,1
3022,威強電,1
3023,信邦,1
3024,憶聲,1
3025,星通,1
3026,禾伸堂,1
3027,盛達,1
3028,增你強,1
3029,零壹,1
3030,德律,1
3031,佰鴻,1
3032,偉訓,1
3033,威健,1
3034,聯詠,1
3035,智原,1
3036,文曄,1
3037,欣興,1
3038,全台,1
3040,遠見,1
3041,揚智,1
3042,晶技,1
3043,科風,1
3044,健鼎,1
3045,台灣大,1
3046,建碁,1
3047,訊舟,1
3048,益登,1
3049,和鑫,1
3050,鈺德,1
3051,力特,1
3052,夆典,1
3054,立萬利,1
3055,蔚華科,1
3056,總太,1
3057,喬鼎,1
3058,立德,1
3059,華晶科,1
3060,銘異,1
3062,建漢,1
3064,泰偉,2
3066,李洲,2
3067,全域,2
3071,協禧,2
3073,天方能源,2
3078,僑威,2
3081,聯亞,2
3083,網龍,2
3085,新零售,2
3086,華義,2
3088,艾訊,2
3089,億杰,2
3090,日電貿,1
3092,鴻碩,1
3093,港建,2
3094,聯傑,1
3095,及成,2
3105,穩懋,2
3114,好德,2
3115,寶島極,2
3118,進階,2
3122,笙泉,2
3128,昇銳,2
3130,一零四,1
3131,弘塑,2
3138,耀登,1
3141,晶宏,2
3144,新揚科,2
3147,大綜,2
3149,正達,1
3152,璟德,2
3162,精確,2
3163,波若威,2
3164,景岳,1
3167,大量,1
